"time (JD)" Vmag Verr
2458630.60258 15.356 0.009000000000000001
2458630.60338 15.345999999999998 0.009000000000000001
2458630.60418 15.398 0.009000000000000001
2458630.60498 15.415999999999999 0.009000000000000001
2458630.60576 15.402999999999999 0.009000000000000001
2458630.60655 15.437000000000001 0.009000000000000001
2458630.60734 15.408 0.009000000000000001
2458630.60813 15.378 0.009000000000000001
2458630.60892 15.370999999999999 0.009000000000000001
2458630.60972 15.43 0.01
2458630.61052 15.472000000000001 0.01
2458630.61132 15.543 0.011000000000000001
2458630.61212 15.567 0.011000000000000001
2458630.61291 15.555 0.011000000000000001
2458630.6137 15.600999999999999 0.012
2458630.61449 15.614 0.012
2458630.61529 15.63 0.012
2458630.61608 15.604000000000001 0.012
2458630.61686 15.591 0.012
2458630.61765 15.59 0.012
2458630.61845 15.52 0.011000000000000001
2458630.61924 15.450999999999999 0.011000000000000001
2458630.62002 15.413 0.011000000000000001
2458630.62082 15.485999999999999 0.011000000000000001
2458630.62162 15.482999999999999 0.011000000000000001
2458630.62241 15.509 0.012
2458630.6248 15.477 0.012
2458630.6256 15.43 0.012
2458630.6264 15.415 0.012
2458630.6272 15.452 0.011000000000000001
2458630.62799 15.437999999999999 0.01
2458630.62879 15.376 0.01
2458630.62958 15.364 0.009000000000000001
2458630.63038 15.364 0.01
2458630.63118 15.319 0.009000000000000001
2458630.63198 15.335 0.009000000000000001
2458630.63278 15.363 0.01
2458630.63357 15.402999999999999 0.01
2458630.63436 15.398 0.01
2458630.63516 15.423 0.01
2458630.63596 15.485999999999999 0.011000000000000001
2458630.63676 15.534 0.012
2458630.63756 15.588 0.013000000000000001
2458630.63836 15.581 0.013000000000000001
2458630.63916 15.623 0.013000000000000001
2458630.64074 15.789000000000001 0.015
2458630.64154 15.831 0.016
2458630.64234 15.912 0.017
2458630.64314 16.022000000000002 0.019
2458630.64394 16.218 0.022000000000000002
2458630.64473 16.447 0.027999999999999997
2458630.64553 16.576 0.033
2458630.64633 16.732 0.038
2458630.64713 16.976 0.047
2458630.64793 17.086 0.05
2458630.64873 17.16 0.054000000000000006
2458630.64953 17.211 0.059000000000000004
2458630.65032 17.123 0.053
2458630.65112 16.99 0.049
2458630.65192 16.827 0.040999999999999995
2458630.65272 16.7 0.038
2458630.65352 16.531 0.033
2458630.65429 16.419 0.03
2458630.65509 16.273 0.027000000000000003
2458630.65589 16.044 0.023
2458630.65669 15.988 0.022000000000000002
2458630.65749 15.943 0.021
2458630.65829 15.889000000000001 0.02
2458630.65909 15.882 0.021
2458630.65988 15.843 0.02
2458630.66068 15.745 0.019
2458630.66147 15.732999999999999 0.019
2458630.66227 15.67 0.018000000000000002
2458630.66307 15.616 0.013999999999999999
2458630.66387 15.546 0.013999999999999999
2458630.66465 15.542 0.013000000000000001
2458630.66625 15.57 0.013999999999999999
2458630.66703 15.544 0.013000000000000001
2458630.66782 15.592 0.013999999999999999
2458630.66862 15.6 0.013999999999999999
2458630.66942 15.569 0.015
2458630.67022 15.557 0.015
2458630.67101 15.569 0.015
2458630.67181 15.537 0.015
2458630.6726 15.494000000000002 0.015
2458630.6734 15.502 0.015
2458630.6742 15.503 0.016
2458630.67499 15.537 0.017
2458630.67579 15.538 0.017
2458630.67659 15.508 0.016
2458630.67738 15.475 0.017
2458630.67818 15.417 0.017
2458630.67897 15.388 0.017
2458630.67975 15.375 0.019
2458630.68053 15.343 0.017
2458630.68132 15.32 0.015
2458630.68212 15.334000000000001 0.015
2458630.68292 15.368 0.016
2458630.68372 15.366 0.016
2458630.68451 15.345999999999998 0.016
2458630.68531 15.347999999999999 0.016
2458630.6861 15.33 0.016
2458630.6869 15.359000000000002 0.017
2458630.6877 15.312000000000001 0.016
2458630.6885 15.335 0.016
2458630.68929 15.329 0.016
2458630.69009 15.337 0.016
2458630.69089 15.375 0.017
2458630.69168 15.45 0.019
2458630.69248 15.42 0.019
2458630.69328 15.419 0.017
2458630.69407 15.447000000000001 0.016
2458630.69487 15.404000000000002 0.015
2458630.69567 15.437000000000001 0.015
2458630.69647 15.436 0.016
2458630.69727 15.432 0.016
2458630.69807 15.412 0.015
2458630.69887 15.363 0.015
2458630.69966 15.368 0.016
2458630.70046 15.375 0.016
2458630.70124 15.325999999999999 0.015
2458630.70204 15.347000000000001 0.016
2458630.70284 15.295 0.016
2458630.70363 15.288 0.016
2458630.70443 15.429 0.019
2458630.70523 15.376 0.018000000000000002
2458630.70602 15.375 0.017
